"","Method","Avg_Time","Avg_Min_ESS","Avg_ESS_per_Sec","Avg_Rhat","Avg_MSE"
"1","BSQR (HMC)",6.15164374113083,795.484688776909,128.884916494562,1.01074234134868,0.00417879931544641
"2","PETEL",10.1611699461937,0,0,NA,0.00643773933235832
