"Error_Dist","Scenario","Tau","Method","Kernel","p","MSE_beta","MAE_beta","WMSE_beta","CheckLoss_test","Bias_beta_avg","Coverage_beta_avg","CI_Width_beta_avg","Fit_Time_avg_sec","Rhat_beta_max","ESS_bulk_beta_min","ESS_tail_beta_min","Rhat_theta","ESS_bulk_theta","ESS_tail_theta","Num_Divergences_avg"
"norm_0_1","Dense_p8",0.75,"BSQR","Uniform",8,0.0145441237957731,0.0962562721251563,0.0737143132605051,0.413283777330611,0.000345009984218771,0.85875,0.357465588984375,4.29550559639931,1.00165398966452,2777.23994248087,2505.39675917565,1.00066978842285,2902.40968772396,2620.82313084146,0
"norm_0_1","Dense_p8",0.75,"BSQR","Epanechnikov",8,0.014605956044983,0.0963421910751922,0.074027439308544,0.413394142880531,0.000364322276682835,0.91375,0.427554575359375,25.6855717253685,1.00163277107421,2730.70316530074,2479.57574501349,1.0006845934547,3090.15308393425,2619.77488642765,0
"norm_0_1","Dense_p8",0.75,"BSQR","Triangular",8,0.014645795700823,0.0966033337111719,0.0742801196355977,0.413457877280535,0.000392424052578147,0.8525,0.356536433546875,20.385125182867,1.00157999479694,2729.28616134681,2474.2309602309,1.00064455387659,2865.37472937864,2552.27346015939,0
"t3_unscaled","Sparse_p20",0.25,"QR","N/A",20,0.0237812939952022,0.122801704110214,0.290492431356671,0.602108747345139,0.000257297272647122,,,,,,,,,,
"t3_unscaled","Sparse_p20",0.25,"BQR","ALD",20,0.0211764168928978,0.115934334283185,0.260053102568836,1.08051740663167,-4.97025744872286e-05,0.90225,0.485886384232844,23.2467353010178,1.00210670471431,2347.4317160673,2354.95476573596,1.00046441649134,4044.9593660339,2810.55378814908,0
"t3_unscaled","Sparse_p20",0.25,"BSQR","Gaussian",20,0.0215412598098191,0.11686584928729,0.265650226201863,0.598196730209602,-0.000183437845384388,0.91175,0.508517894585741,115.817209075689,1.00188835988938,3043.25084745022,2552.54745213321,1.00059529301506,4041.70783353464,2787.50597588458,0.6
"t3_unscaled","Sparse_p20",0.25,"BSQR","Uniform",20,0.0214650800872044,0.116660171875464,0.264243619073131,0.597942159376869,-0.000174721073638603,0.90575,0.492870428404302,6.29242289185524,1.00203277482295,2938.71044391715,2544.79460896709,1.00055296489642,4009.04318243089,2840.70445363298,0
"t3_unscaled","Sparse_p20",0.25,"BSQR","Epanechnikov",20,0.0214384617648316,0.116591288155152,0.264033538949246,0.597883252555354,-0.000166762043002513,0.94325,0.564973424947314,39.0080783987045,1.00198263329497,2905.56337583212,2551.80825723133,1.00055285400331,4142.31051526887,2832.78226376799,0
"t3_unscaled","Sparse_p20",0.25,"BSQR","Triangular",20,0.0212819764586497,0.116174470592509,0.261819085746908,0.597534945210066,-0.000187022369683851,0.90475,0.489687351962258,30.2357305300236,1.00190789453099,2907.80971887623,2520.61520454346,1.00060628004833,3964.58398152209,2799.84799101539,0
"t3_unscaled","Sparse_p20",0.5,"QR","N/A",20,0.0190288561899908,0.109644684013139,0.232558639487424,0.590453839617481,-0.000681791852907003,,,,,,,,,,
