Date,Adj Close
2017-01-03,"1,977.6820"
2017-01-04,"1,981.3250"
2017-01-05,"1,963.0970"
2017-01-06,"1,963.3200"
2017-01-09,"1,964.6970"
2017-01-10,"1,970.3930"
2017-01-11,"1,985.2040"
2017-01-12,"1,966.0660"
2017-01-13,"1,976.5490"
2017-01-17,"1,904.7330"
2017-01-18,"1,913.6210"
2017-01-19,"1,899.0370"
2017-01-20,"1,907.4730"
2017-01-23,"1,908.3830"
2017-01-24,"1,931.4080"
2017-01-25,"1,961.2630"
2017-01-26,"1,977.6820"
2017-01-27,"1,981.7790"
2017-01-30,"1,961.2630"
2017-01-31,"1,929.3510"
2017-02-01,"1,936.6620"
2017-02-02,"1,928.4500"
2017-02-03,"1,987.4850"
2017-02-06,"1,978.1430"
2017-02-07,"1,977.0070"
2017-02-08,"1,959.6780"
2017-02-09,"1,987.9450"
2017-02-10,"1,983.3870"
2017-02-13,"2,009.6020"
2017-02-14,"2,041.7410"
2017-02-15,"2,065.2260"
2017-02-16,"2,063.8630"
2017-02-17,"2,057.0240"
2017-02-21,"2,074.8010"
2017-02-22,"2,075.9440"
2017-02-23,"2,077.5340"
2017-02-24,"2,059.3030"
2017-02-27,"2,061.5890"
2017-02-28,"2,065.9130"
2017-03-01,"2,133.8530"
2017-03-02,"2,100.5680"
2017-03-03,"2,115.6180"
2017-03-06,"2,095.5440"
2017-03-07,"2,083.9210"
2017-03-08,"2,079.3650"
2017-03-09,"2,087.5730"
2017-03-10,"2,080.9600"
2017-03-13,"2,082.7810"
2017-03-14,"2,086.1940"
2017-03-15,"2,091.2200"
2017-03-16,"2,089.1690"
2017-03-17,"2,067.2720"
2017-03-20,"2,052.4590"
2017-03-21,"1,992.2670"
2017-03-22,"1,995.4690"
2017-03-23,"1,992.2670"
2017-03-24,"1,990.0080"
2017-03-27,"1,988.8510"
2017-03-28,"2,019.8570"
2017-03-29,"2,012.3350"
2017-03-30,"2,029.6660"
2017-03-31,"2,002.5330"
2017-04-03,"1,995.2410"
2017-04-04,"2,001.8930"
2017-04-05,"1,976.2100"
2017-04-06,"1,982.8580"
2017-04-07,"1,975.9850"
2017-04-10,"1,969.1050"
2017-04-11,"1,965.6600"
2017-04-12,"1,958.0950"
2017-04-13,"1,935.1680"
2017-04-17,"1,968.6550"
2017-04-18,"1,952.5940"
2017-04-19,"1,936.5450"
2017-04-20,"1,961.5400"
2017-04-21,"1,937.9210"
2017-04-24,"2,006.2440"
2017-04-25,"2,023.6730"
2017-04-26,"2,027.5700"
2017-04-27,"2,008.7600"
2017-04-28,"1,994.7880"
2017-05-01,"1,996.1520"
2017-05-02,"1,983.3140"
2017-05-03,"1,994.7880"
2017-05-04,"1,997.0730"
2017-05-05,"1,994.7880"
2017-05-08,"1,997.0730"
2017-05-09,"1,989.0480"
2017-05-10,"2,004.6440"
2017-05-11,"1,998.4450"
2017-05-12,"1,992.9440"
2017-05-15,"2,002.5750"
2017-05-16,"2,008.7600"
2017-05-17,"1,932.1840"
2017-05-18,"1,925.0850"
2017-05-19,"1,943.8810"
2017-05-22,"1,942.0450"
2017-05-23,"1,966.3600"
2017-05-24,"1,965.2020"
2017-05-25,"1,956.9510"
2017-05-26,"1,957.1760"
2017-05-30,"1,923.7060"
2017-05-31,"1,883.5690"
2017-06-01,"1,904.4380"
2017-06-02,"1,894.8120"
2017-06-05,"1,898.2480"
2017-06-06,"1,902.1470"
2017-06-07,"1,923.9320"
2017-06-08,"1,947.7760"
2017-06-09,"1,993.8650"
2017-06-12,"1,994.3240"
2017-06-13,"2,000.9740"
2017-06-14,"1,996.8470"
2017-06-15,"1,984.9240"
2017-06-16,"1,975.9850"
2017-06-19,"2,019.3090"
2017-06-20,"2,006.7010"
2017-06-21,"1,997.5360"
2017-06-22,"1,995.2410"
2017-06-23,"1,991.5820"
2017-06-26,"2,000.2860"
2017-06-27,"2,018.8530"
2017-06-28,"2,059.4340"
2017-06-29,"2,089.9330"
2017-06-30,"2,095.6630"
